Student_ID,Gender,Math_Score,English_Score,Science_Score,Attendance
S1001,Female,79.96714153011233,86.79226523903202,72.59857380020495,75.46096221061305
S1002,Male,73.61735698828815,81.09560419495322,76.84385063427585,80.6980749461025
S1003,Female,81.47688538100692,70.71556443904208,71.66064063200031,82.93197233289177
S1004,Female,90.23029856408026,62.23675866753311,75.53630776288767,94.43843828670096
S1005,Female,72.65846625276664,78.37867976336308,62.85108266436971,87.78276562266879
S1006,Male,,74.72182462506099,79.70634965898351,78.32259215450054
S1007,Female,90.79212815507391,80.74231864033278,78.0096438028978,87.43018144708819
S1008,Female,82.67434729152909,77.62206162018363,71.46329095145447,77.26348005530818
S1009,Male,70.30525614065049,82.59463258383202,83.27396534745924,90.41345526943536
S1010,Male,80.42560043585965,63.57717746127318,85.50056110101247,82.6443767409106
S1011,Female,70.36582307187538,85.80872878761191,65.1395210850482,84.53181905630414
S1012,Male,70.34270246429743,72.3711952563088,71.89820177147028,91.62898323771095
S1013,Female,77.41962271566034,94.90313047150319,71.84686120170161,78.56418215707875
S1014,Male,55.86719755342202,61.72974618292518,70.48077519112908,78.01440907443504
S1015,Male,57.75082167486967,90.83156563798299,84.63579873545399,82.08200336826998
S1016,Female,69.37712470759027,,76.44939088981758,90.19189425509659
S1017,Female,64.87168879665576,62.18298395662662,75.88388126951511,77.4032696226158
S1018,Female,78.14247332595274,64.19336999134813,61.96910108474597,70.83922200944716
S1019,Male,65.91975924478788,66.15583230166816,83.08334424167381,82.744205707955
S1020,Female,60.87696298664709,75.08999135682299,68.08593284117222,87.7587039995546
S1021,Female,89.65648768921554,76.274025856426,78.47946104213062,91.00130874869414
S1022,Female,72.74223699513465,63.11559995273705,80.21901550366553,82.68419318957301
S1023,Female,75.67528204687923,69.7077448928682,88.8852687667092,82.94286696441999
S1024,Female,60.75251813786544,95.70724430334236,67.5294368070471,90.76950367127874
S1025,Male,69.55617275474818,90.73051804120854,53.8439027534334,75.65129150152289
S1026,Female,76.10922589709867,75.23588403608838,,83.05739612408496
S1027,Female,63.490064225776976,70.4560417380184,92.40408945208682,85.95211944962529
S1028,Male,78.75698018345672,71.44037592061913,87.9115708235155,87.24609360642518
S1029,Female,68.99361310081196,77.362215672765,79.677275322197,82.45096653404559
S1030,Female,72.08306250206724,57.72648921761913,74.06691051494361,85.1722050585292
S1031,Female,68.98293387770603,66.91148155091986,84.45698077309848,72.55836323293505
S1032,Female,93.52278184508938,49.97699111346893,70.21163040236425,81.70875793833076
S1033,Female,74.86502775262066,74.79067747126335,81.81086215484976,87.26754356277233
S1034,Male,64.422890710441,77.76635127643289,82.04376127333302,80.0885298287266
S1035,Male,83.22544912103189,64.20176245240751,86.48167925999104,85.29492110794799
S1036,Male,62.791563500289776,88.88784115948039,100.07728031128862,
S1037,Female,77.08863595004756,55.290812043971904,81.13932773743014,83.28725399571117
